lon,lat,jul.day,bath,chl,chl.sw
-0.0018,60.01,148,120,1.5,1.01310159
-0.002,60.423,267,110,0.9,1.2269706
-0.0058,72.741,204,2739,0.4,0.39122440000000003
-0.0173,50.5817,110,44,0.48,1.75564028
-0.0227,53.8537,212,4,0.4,2.06058918
-0.0277,53.8565,212,4,0.6,2.06058918
-0.0327,50.279,124,50,1.05,1.73376972
-0.0671,55.4995,273,62,1.1,1.17489755
-0.0704,50.6003,109,44,1.5,1.7480939
-0.0707,53.6073,137,6,2.65,12.30268771
-0.1377,53.6253,137,6,2.65,12.30268771
-0.1465,74.9998,207,3495,0.3,1.01772026
-0.169,50.4685,62,50,0.77,0.72083569
-0.1768,64.2992,116,2646,0.3,0.70952889
-0.181,53.658,137,6,2.6,12.30268771
-0.2418,50.2427,125,50,1.14,1.57196939
-0.249,58.3825,150,130,1.25,0.86853385
-0.25,72.22,138,2126,0.86666667,0.65511199
-0.254,58.383,269,130,1,1.48789141
-0.2869,50.5596,255,44,1.01,1.60316264
-0.295,63.3917,298,1937,0.2,0
-0.3283,59.292,165,101,0.4,0.55085252
-0.3292,59.298,347,101,0.1,0
-0.33,60.4165,148,110,1.2,2.57565029
-0.3315,59.2832,268,101,0.9,0.98266089
-0.3325,59.2825,272,101,0.7,1.10454083
-0.3328,60.01,267,120,1,1.0871
-0.335,59.2808,148,101,1.5,0.77035169
-0.335,60.01,148,120,1.6,1.29268946
-0.336,60.836,147,117,1.05,0.95219091
-0.3383,60.4152,267,110,1.05,1.19694684
-0.3467,60.832,266,117,0.8,0.76085755
-0.4,78,209,2955,0.685,2.11348904
-0.4483,50.235,75,50,0.59,1.12640515
-0.4592,59.7507,77,123,0.14,0.32909949
-0.494,59.0152,77,99,0.19,0.3758374
-0.4945,60.837,147,117,0.9,0.90797703
-0.4962,60.425,148,110,1.25,1.28550409
-0.4978,50.2021,124,50,0.86,1.24732134
-0.4988,60.4157,267,110,1,1.16700679
-0.4997,58.2998,150,130,1.5,0.74386514
-0.5,72.37,138,2220,1.1,0.84733059
-0.5,74.75,200,3495,0.07,0.8598962
-0.502,60.8323,266,88,0.8,0.79453766
-0.5033,58.315,269,123,0.9,1.88778649
-0.5043,60.01,148,108,2.45,1.39363944
-0.5083,60.01,267,108,0.9,0.83590196
-0.5379,55.4984,273,65,2.8,1.02329299
-0.6378,50.3943,265,55,1.38,1.71790839
-0.6605,60.416,148,98,1.1,1.62543679
-0.665,59.2822,268,125,1.35,0.91515406
-0.6652,59.283,347,125,0.2,0
-0.6667,59.2798,149,125,1.15,1.00952481
-0.6687,60.8327,266,88,0.9,0.70291624
-0.6692,60.002,267,108,0.9,1.36092489
-0.67,59.293,272,125,0.8,0.94702488
-0.6703,60.427,267,98,0.75,0.87413593
-0.672,59.9997,148,125,2.2,1.10653323
-0.6767,60.8363,147,88,1.6,0.72221685
-0.7034,50.3573,102,55,1.84,0.91082624
-0.7108,59.2822,165,125,0.3,0.84738853
-0.7313,60.8372,147,88,1.65,1.5962188
-0.7333,60.8302,266,88,0.7,0.78195502
-0.7483,58.22,269,105,1.4,1.16834535
-0.7487,58.2158,150,105,0.95,0.93103168
-0.7548,73.002,204,2763,0.4,0.41154294
-0.81,63.5733,298,2238,0.2,0
-0.8357,60.002,267,108,1.1,2.35049718
-0.8368,59.9992,148,125,1.35,1.55749238
-0.8682,55.4995,273,65,2.5,0.92257143
-0.883,72.5,149,2590,1.6,0.61536322
-0.883,72.5,138,2590,1.63333333,0.61844823
-0.9436,50.3323,62,55,0.65,1.96507729
-0.9627,64.5483,117,2823,0.3,0.83439531
-0.9867,50.5,110,31,2.63,4.97157744
-0.9897,59.278,165,125,0.3,0.91015843
-0.9968,58.13,150,105,1.45,0.81464817
-0.999,59.2822,347,125,0.2,0
-0.999,59.286,272,125,0.8,1.7712486
-1,60.004,267,108,0.9,1.0444558
-1,75,153,3583,0.7,0.67608298
-1,75,134,3583,0.45,0.71754617
-1.002,60.01,148,28,1.25,2.51007978
-1.0033,69.3372,177,3042,0.819,1.02329299
-1.008,59.2815,149,109,2,1.29107917
-1.01,58.15,269,100,1.2,1.32606483
-1.01,59.283,268,109,1.1,1.23440013
-1.0111,50.7002,255,12,1.44,3.47939208
-1.0136,50.1096,124,74,1.02,1.25142167
-1.025,74.007,135,3500,0.5,0.40547448
-1.0712,50.1384,75,74,0.59,0.9981126
-1.0907,50.0992,278,74,0.94,1.12824566
-1.133,74.75,200,3567,0.03,0.816276
-1.159,59.2795,348,109,0.2,0
-1.16,59.2767,165,109,0.3,1.16322989
-1.163,59.283,268,109,1,0.81089469
-1.167,59.292,272,109,0.7,0.92617301
-1.171,59.2858,149,109,0.85,1.36601147
-1.172,50.2683,102,46,6.54,1.32833449
-1.2016,55.4988,273,66,3.1,1.30316678
-1.217,78,209,2946,1.025,4.21696503
-1.2235,73.168,205,2983,1,0.53123821
-1.2347,59.748,84,100,0.28,0.4165461
-1.2367,58.6317,295,99,0.8,0.59326465
-1.2375,45.6572,110,8,1.95,5.35385373
-1.2477,58.049,150,100,1.65,0.89819266
-1.2513,58.993,84,101,0.21,0.52772014
-1.262,58.052,269,100,1.55,1.59486744
-1.3225,59.2878,165,109,0.3,1.10236955
-1.323,59.2812,348,109,0.2,0
-1.3318,59.2832,272,109,0.6,0.81840679
-1.333,59.29,268,109,0.8,0.87792944
-1.336,59.282,149,109,0.9,1.19246073
-1.4173,50.2515,62,46,0.67,0.99409051
-1.42,72.7,137,2839,2.45,0.6095369
-1.42,72.7,138,2839,3.3,0.57872954
-1.4324,50.0754,75,74,0.58,1.04203613
-1.4943,50.4504,110,46,2.1,4.42268374
-1.4962,59.2795,348,109,0.2,0
-1.4967,55.3325,273,66,0.9,2.4266101
-1.4967,59.285,272,109,0.4,0.772953
-1.4998,57.967,150,100,2.35,1.26995037
-1.502,59.2815,149,78,1.15,0.8771676
-1.502,59.292,268,78,0.85,0.75977655
-1.5035,57.968,269,99,1.4,1.61185959
-1.5202,59.28,165,78,0.5,1.60498362
-1.5603,50.2372,265,71,0.86,1.65958691
-1.5896,50.6742,255,17,1.85,2.94367641
-1.615,60.9117,300,171,0.3,0.27917725
-1.6245,43.5935,71,482,0.84,2.34422882
-1.6281,50.1831,102,71,6.32,0.93534124
-1.6491,43.6422,69,482,1.04,1.7343292
-1.6492,59.2977,166,78,2.4,1.73210997
-1.6642,59.2823,348,78,0.2,0
-1.6655,59.2807,149,78,0.9,0.8771676
-1.667,59.2825,272,78,0.6,0.772953
-1.67,74.93,135,3556,0.95,0.69778059
-1.675,59.3817,54,78,0.2,0.54406776
-1.677,59.29,268,78,0.6,0.69726022
-1.6843,45.6795,110,52,2.07,1.94294099
-1.6967,58.7033,302,99,0.2,1.2470587
-1.6983,59.032,302,98,0.4,0.44101973
-1.7083,59.3717,302,78,0.3,0.37928394
-1.7445,64.8192,117,3066,0.3,0.6226722
-1.747,57.8827,150,99,1.25,1.22683667
-1.75,74.75,200,3556,0.05,0.90775619
-1.7535,57.8828,269,99,1.4,1.24642328
-1.7965,59.283,272,78,0.3,0.65896948
-1.7997,59.2798,149,78,1,1.15908957
-1.8017,59.288,348,78,0.2,0
-1.8018,59.288,166,78,3.9,1.01506583
-1.805,57.124,297,85,0.46666667,1.44543977
-1.8052,57.125,187,85,2.36666667,1.7063707
-1.8067,57.237,70,85,0.53333333,1.45368316
-1.807,57.127,70,85,0.75,1.09562787
-1.8073,59.285,268,78,0.7,0.6823252
-1.8078,57.128,39,85,0.3,1.60618232
-1.8102,57.2313,39,85,0.3,1.79163059
-1.8127,57.233,187,85,1.6,1.53967476
-1.8344,67.7515,175,3449,1.113,1.40592945
-1.8568,57.242,70,85,0.63333333,2.12532783
-1.8598,57.2322,39,85,0.3,2.50451727
-1.8618,57.242,187,85,1.93333333,2.4788441
-1.8707,57.123,297,85,0.43333333,1.97242274
-1.8735,57.127,70,85,0.76666667,1.49977478
-1.8738,57.125,187,85,2.36666667,1.59108956
-1.875,57.125,6,85,0.3,0
-1.875,57.127,39,85,0.3,1.9574678
-1.8775,50.4778,255,49,1.27,2.47105709
-1.8865,50.1864,265,71,0.7,1.17489755
-1.8872,57.2323,187,85,2.13333333,2.17584734
-1.89,57.248,70,85,0.53333333,2.12532783
-1.8925,57.231,39,85,0.4,2.50451727
-1.8943,43.8823,69,117,0.93,1.25892541
-1.9045,57.122,297,85,0.4,1.97242274
-1.9053,57.125,6,85,0.3,0
-1.9057,57.125,187,85,2.36666667,1.59108956
-1.9075,57.128,70,85,0.75,1.49977478
-1.9088,57.127,39,85,0.3,1.9574678
-1.9097,49.9548,124,65,1.27,1.79458676
-1.9262,57.245,70,85,0.7,2.12532783
-1.9267,57.2318,187,85,1.86666667,2.17584734
-1.9288,57.2315,39,85,0.4,2.50451727
-1.9305,59.287,268,78,0.6,0.6823252
-1.931,59.2797,272,78,0.3,0.65896948
-1.933,59.2852,348,78,0.2,0
-1.9357,59.2817,149,78,1.35,1.15908957
-1.939,59.2852,166,78,1.3,1.12824566
-1.9398,57.122,297,85,0.43333333,1.97242274
-1.9415,57.123,6,85,0.3,0
-1.9415,57.126,39,85,0.3,1.9574678
-1.9417,57.125,70,85,0.6,1.49977478
-1.9422,57.126,187,85,2.56666667,1.59108956
-1.95,72.92,149,2828,1.7,0.58264613
-1.95,72.92,137,2828,2.9,0.63095734
-1.95,72.92,138,2828,1.6,0.60071832
-1.957,56.892,297,83,0.66666667,1.49623566
-1.9588,57.231,187,85,2.46666667,2.17584734
-1.9608,57.2332,39,85,0.33333333,2.50451727
-1.9688,57.235,70,85,0.9,2.10089173
-1.97,57.126,39,85,0.3,1.9574678
-1.9705,57.126,187,85,2.33333333,1.59108956
-1.9713,57.123,6,85,0.3,0
-1.9715,57.125,70,85,0.66666667,1.49977478
-1.9725,56.89,39,83,0.3,1.49184612
-1.9727,56.883,70,83,0.8,1.46448823
-1.9755,57.124,297,85,0.43333333,1.97242274
-1.9758,56.885,186,83,3,1.66053552
-1.9858,59.0015,84,98,0.23,0.72011801
-1.99,56.269,185,50,2.86666667,1.05925373
-1.9907,56.2703,296,50,0.8,2.28129671
-1.9918,56.2725,38,50,0.3,2.20796108
-1.9923,56.37,185,50,2.43333333,1.216186
-1.9935,57.2357,70,85,1,2.10089173
-1.9937,56.3707,38,50,0.33333333,1.98969611
-1.9938,57.2325,187,85,2.43333333,2.17584734
-1.9952,57.8017,150,99,2.3,1.37859131
-1.9958,56.3697,296,50,0.7,2.83449472
-1.996,57.123,297,85,0.56666667,1.97242274
-1.9963,56.514,296,53,1,2.07158784
-1.9963,56.523,38,53,0.3,1.94731198
-1.9967,57.2317,39,85,0.4,2.50451727
-1.9978,56.4472,296,50,0.9,2.83449472
-1.9982,56.449,38,50,0.3,1.98969611
-1.9987,56.462,69,50,0.73333333,1.37266562
-1.9987,56.517,69,53,0.7,1.37266562
-1.9997,57.7528,269,99,1.2,1.57791128
-1.9998,57.92,269,99,1.45,1.17559841
-1.9998,57.9983,269,99,1.45,1.33081289
-10,75,151,3113,1.2,2.34410782
-10.0003,41.6544,253,3188,0.11,0.2440983
-10.0004,41.9502,253,2877,0.09,0.23581138
-10.0007,40.716,253,3282,0.037,0.20231838
-10.0015,49.6595,271,166,0.37,0.40547448
-10.0018,57.012,144,2221,0.7,1.22152843
-10.0029,41.0185,253,3933,0.037,0.22085996
-10.0033,48.4009,270,2289,0.35,0.55382111
-10.0035,56.997,217,2141,0.9,1.60324539
-10.0045,56.9895,129,2141,2.1,1.05925373
-10.005,37.5606,6,3025,0.57,0.3253896
-10.0053,57.006,144,2221,0.8,1.22152843
-10.0057,57.0058,144,2221,0,1.22152843
-10.0063,37.3729,4,3653,0.4,0.30951798
-10.0067,57.0042,144,2221,0.6,1.22152843
-10.0102,56.9995,144,2141,0.8,1.22152843
-10.017,78,211,123,0.12,0.42469277
-10.022,49.4729,308,177,0.51,0.55870613
-10.0223,38.184,4,4774,0.54,0.33377945999999997
-10.0347,39.4756,9,1551,0.5,0.30549211
-10.0415,49.5957,276,166,0.205,0.40641007
-10.0608,48.1845,30,3286,0.155,0.1989267
-10.0642,55.1185,58,1157,0,0.2522534
-10.0658,39.2154,9,908,0.67,0.31622777
-10.09,31.5,275,960,0.4,0.84153642
-10.0976,37.5447,6,3025,0.54,0.3253896
-10.0976,38.9313,9,1186,0.52,0.33884416
-10.1057,55.0185,58,1157,0.1,0.21922328
-10.138,55.0293,58,1157,0.1,0.21922328
-10.1383,48.5927,115,975,2.98,0.47722593
-10.1397,49.5007,266,166,0.87,0.32532994
-10.1405,38.6463,9,3448,0.81,0.32734069
-10.1447,50.3839,121,150,1.9,1.840772
-10.1484,45.9485,202,4831,0.07,0.26279885
-10.15,74.95,197,3120,0.135,0.53499997
-10.1535,55.042,58,1157,0.1,0.21922328
-10.1645,49.3654,308,177,0.5,0.35771276
-10.1664,37.8077,4,3734,0.5,0.32989027
-10.1664,38.6084,5,3448,0.54,0.31085994
-10.1695,55.0387,58,1157,0.1,0.21922328
-10.17,31.5,276,960,0.33,0.97787817
-10.1708,56.7642,183,2141,0.6,0.74567924
-10.1741,37.5492,4,3025,0.64,0.34181156
-10.1827,61.6753,104,1206,0.19,0.26454063
-10.1839,37.5546,6,3025,0.36,0.31912767
-10.1881,49.5815,276,166,0.242,0.40641007
-10.1889,37.0302,3,3800,0.47,0.35414371
-10.2022,55.0457,58,1157,0.2,0.25703958
-10.203,50.9967,196,138,0.273,0.6448156
-10.2062,44.5713,204,4925,0.059,0.2205259
-10.2278,55.4277,166,2029,0.8,1.37918971
-10.2395,55.0565,58,1157,0,0.16390773
-10.2478,37.568,6,3025,0.4,0.33453036
-10.2506,38.4479,5,4767,0.71,0.33309243
-10.2544,38.3641,5,4767,0.43,0.33309243
-10.2778,50.283,121,150,3,1.77827941
-10.2865,41.048,10,3933,0.33,0.28765061
-10.303,58.3585,188,1902,0.4,0.58086266
-10.3085,58.3367,188,1902,0.3,0.58086266
-10.3367,46.9913,201,4699,0.101,0.35075187
-10.3369,49.5679,276,166,0.428,0.46096346
-10.346,45.8187,202,4831,0.099,0.29386854
-10.3515,42.9997,252,3144,1.07,0.28488073
-10.3944,49.5945,256,166,0.21,0.31855306
-10.4083,49.1777,308,187,0.43,0.33165449
-10.426,42.3116,11,2782,0.5,0.31095106
-10.44,30.97,271,768,2.291,0.4871829
-10.44,31.02,272,270,0.6215,0.52232152
-10.4404,37.7726,5,3734,0.67,0.3164164
