X,Y,medFPQ,region,meanTheta
65,9,3.923048,NA,2.838555
60,10,0.492985,0,1.218145
63,10,2.759576,NA,1.983947
65,10,3e-6,0,1.30603
66,10,0.854175,0,-2.496284
54,11,2.235795,NA,1.648068
55,11,2.235795,NA,1.648068
56,11,1.756946,NA,1.438358
57,11,2.567276,NA,1.829554
58,11,0.378068,0,0.991176
59,11,0.897452,0,0.753169
60,11,1.286311,0,2.217382
61,11,0.321263,0,2.665496
62,11,1.31345,NA,0.045185
63,11,1.31345,NA,0.609338
64,11,0.982423,0,0.2824
65,11,4e-6,0,-0.856212
66,11,3.126586,NA,-0.418867
68,11,1.563106,NA,1.112677
69,11,0.176869,0,0.842467
70,11,0.176869,0,0.842467
71,11,1.317522,NA,-0.781922
72,11,2.104228,NA,-0.667894
73,11,1.637876,NA,-1.862658
74,11,0.917094,0,-1.919664
53,12,1.194972,0,2.448882
54,12,2.401229,NA,0.94744
55,12,2.401229,NA,0.94744
56,12,2.302095,NA,1.92069
57,12,0.70752,0,2.28557
58,12,0.974302,0,2.642354
59,12,0.750247,0,2.35194
60,12,0.421052,0,-0.364995
61,12,2.889534,NA,-1.446854
62,12,2.889534,NA,0.29846
63,12,0.674517,0,0.225038
64,12,0.889652,0,-2.397198
65,12,1.125669,0,2.996419
66,12,1.112756,0,0.179633
67,12,1.042707,0,1.943612
68,12,1.158631,0,1.930314
69,12,0.780726,0,2.294301
70,12,0.780726,0,2.294301
71,12,0.650051,0,2.369717
72,12,0.101773,0,2.194319
73,12,0.806137,0,-1.305906
74,12,1.876839,NA,1.124474
75,12,1.395535,NA,-2.234135
76,12,0.82829,0,-0.352739
51,13,0.175517,0,-3.105304
52,13,0.67632,0,-2.959337
53,13,3.678576,NA,1.894163
54,13,0.907655,0,-3.102075
55,13,0.907655,0,-3.102075
56,13,0.648938,0,2.284476
57,13,1.610311,NA,2.726816
58,13,0.370819,0,-1.940344
59,13,0.433818,0,2.687761
60,13,0.385295,0,1.443264
61,13,0.487779,0,0.602135
62,13,1.915034,NA,-0.362246
63,13,1.720098,NA,-2.427943
64,13,0.554788,0,-2.821183
65,13,1.193536,0,2.551761
66,13,0.620672,0,1.159201
67,13,0.056893,0,2.100379
68,13,1.424876,NA,-2.869676
69,13,1.776834,NA,-2.145401
70,13,1.776834,NA,-2.145401
71,13,0.313021,0,0.311315
72,13,1.600155,NA,2.884435
73,13,4.604268,NA,0.035688
74,13,5.009153,NA,-0.580119
75,13,0.816163,0,-2.25153
76,13,1.173015,0,1.42229
77,13,3.05685,NA,2.875297
50,14,0.868106,0,-2.630527
51,14,1.329858,NA,3.136173
52,14,1.083842,0,1.090678
53,14,0.829283,0,-2.395577
54,14,0.729403,0,0.228261
55,14,0.729403,0,0.228261
56,14,1.765653,NA,2.943403
57,14,2.304032,NA,2.753199
58,14,0.620366,0,2.85457
59,14,2.20396,NA,-0.040286
60,14,2.954165,NA,0.485387
61,14,0.804919,0,0.797571
62,14,0.804919,0,0.725858
63,14,0.535301,0,-0.72814
64,14,1.511115,NA,2.875023
65,14,3.166147,NA,3.101923
66,14,1.022176,0,2.214211
67,14,1.122798,0,1.253726
68,14,1.055845,0,-1.932349
69,14,1.055845,0,-1.932349
70,14,0.409754,0,2.369809
71,14,1.162534,0,0.74830700000000006
72,14,0.499023,0,3.130941
73,14,2.083984,NA,1.149622
74,14,2.158663,NA,-0.185562
75,14,1.314017,NA,-2.099658
76,14,2.162271,NA,2.512287
77,14,2.873475,NA,-2.960496
78,14,1.070606,0,-2.938218
49,15,1.742897,NA,1.774943
50,15,0.809971,0,2.974789
51,15,2.405871,NA,3.118267
52,15,0.883497,0,3.082163
53,15,1.468738,NA,2.692426
54,15,0.385186,0,1.147995
55,15,0.385186,0,1.147995
56,15,0.73152,0,1.610485
