QUADRICULA,TET,crestlark,linnet,x,y
NG56,E,NA,NA,551000,4669000
NG56,J,NA,NA,552999.9999999999,4669000
NG56,P,NA,NA,555000,4669000
NG56,U,NA,NA,557000,4669000
NG56,Z,NA,NA,559000,4669000
NG66,E,NA,NA,561000,4669000
NG66,J,NA,NA,563000,4669000
NG66,P,NA,NA,565000,4669000
NG66,U,NA,NA,567000,4669000
NG66,Z,NA,NA,569000,4669000
NG56,D,NA,NA,551000,4667000
NG56,I,NA,NA,552999.9999999999,4667000
NG56,N,NA,NA,555000,4667000
NG56,T,NA,NA,557000,4667000
NG56,Y,NA,NA,559000,4667000
NG66,D,NA,NA,561000,4667000
NG66,I,NA,NA,563000,4667000
NG66,N,NA,NA,565000,4667000
NG66,T,NA,NA,567000,4667000
NG66,Y,NA,NA,569000,4667000
NG56,C,NA,NA,551000,4665000
NG56,H,NA,NA,552999.9999999999,4665000
NG56,M,NA,NA,555000,4665000
NG56,S,NA,NA,557000,4665000
NG56,X,NA,NA,559000,4665000
NG66,C,NA,NA,561000,4665000
NG66,H,0,0,563000,4665000
NG66,M,NA,NA,565000,4665000
NG66,S,0,1,567000,4665000
NG66,X,NA,NA,569000,4665000
NG56,B,NA,NA,551000,4663000
NG56,G,NA,NA,552999.9999999999,4663000
NG56,L,NA,NA,555000,4663000
NG56,R,NA,NA,557000,4663000
NG56,W,NA,NA,559000,4663000
NG66,B,0,0,561000,4663000
NG66,G,NA,NA,563000,4663000
NG66,L,0,1,565000,4663000
NG66,R,NA,NA,567000,4663000
NG66,W,NA,NA,569000,4663000
NG56,A,NA,NA,551000,4661000
NG56,F,NA,NA,552999.9999999999,4661000
NG56,K,NA,NA,555000,4661000
NG56,Q,NA,NA,557000,4661000
NG56,V,NA,NA,559000,4661000
NG66,A,NA,NA,561000,4661000
NG66,F,0,1,563000,4661000
NG66,K,NA,NA,565000,4661000
NG66,Q,0,0,567000,4661000
NG66,V,NA,NA,569000,4661000
NG25,E,NA,NA,521000,4659000
NG25,J,NA,NA,523000,4659000
NG25,P,NA,NA,525000,4659000
NG25,U,NA,NA,527000,4659000
NG25,Z,NA,NA,529000,4659000
NG35,E,NA,NA,531000,4659000
NG35,J,NA,NA,533000,4659000
NG35,P,NA,NA,535000,4659000
NG35,U,NA,NA,537000,4659000
NG35,Z,0,0,539000,4659000
NG45,E,NA,NA,541000,4659000
NG45,J,NA,NA,543000,4659000
NG45,P,0,1,545000,4659000
NG45,U,NA,NA,547000,4659000
NG45,Z,0,0,549000,4659000
NG55,E,NA,NA,551000,4659000
NG55,J,0,0,552999.9999999999,4659000
NG55,P,NA,NA,555000,4659000
NG55,U,NA,NA,557000,4659000
NG55,Z,NA,NA,559000,4659000
NG65,E,0,1,561000,4659000
NG65,J,NA,NA,563000,4659000
NG65,P,NA,NA,565000,4659000
NG65,U,NA,NA,567000,4659000
NG65,Z,NA,NA,569000,4659000
NG75,E,0,0,571000,4659000
NG75,J,NA,NA,573000,4659000
NG75,P,NA,NA,575000,4659000
NG75,U,NA,NA,577000,4659000
NG75,Z,NA,NA,579000,4659000
PG55,E,NA,NA,651000,4659000
PG55,J,NA,NA,653000,4659000
PG55,P,NA,NA,655000,4659000
PG55,U,NA,NA,657000,4659000
PG55,Z,NA,NA,659000,4659000
PG85,E,NA,NA,681000,4659000
PG85,J,NA,NA,683000,4659000
PG85,P,NA,NA,685000,4659000
PG85,U,NA,NA,687000,4659000
PG85,Z,NA,NA,689000,4659000
NG25,D,NA,NA,521000,4657000
NG25,I,NA,NA,523000,4657000
NG25,N,NA,NA,525000,4657000
NG25,T,NA,NA,527000,4657000
NG25,Y,NA,NA,529000,4657000
NG35,D,NA,NA,531000,4657000
NG35,I,0,0,533000,4657000
NG35,N,NA,NA,535000,4657000
NG35,T,NA,NA,537000,4657000
NG35,Y,0,0,539000,4657000
NG45,D,NA,NA,541000,4657000
NG45,I,NA,NA,543000,4657000
NG45,N,NA,NA,545000,4657000
NG45,T,NA,NA,547000,4657000
NG45,Y,NA,NA,549000,4657000
NG55,D,NA,NA,551000,4657000
NG55,I,NA,NA,552999.9999999999,4657000
NG55,N,0,1,555000,4657000
NG55,T,NA,NA,557000,4657000
NG55,Y,0,0,559000,4657000
NG65,D,NA,NA,561000,4657000
NG65,I,0,1,563000,4657000
NG65,N,NA,NA,565000,4657000
NG65,T,NA,NA,567000,4657000
NG65,Y,0,0,569000,4657000
NG75,D,NA,NA,571000,4657000
NG75,I,0,0,573000,4657000
NG75,N,NA,NA,575000,4657000
NG75,T,NA,NA,577000,4657000
NG75,Y,NA,NA,579000,4657000
PG55,D,NA,NA,651000,4657000
PG55,I,NA,NA,653000,4657000
PG55,N,NA,NA,655000,4657000
PG55,T,NA,NA,657000,4657000
PG55,Y,NA,NA,659000,4657000
PG85,D,NA,NA,681000,4657000
PG85,I,NA,NA,683000,4657000
PG85,N,NA,NA,685000,4657000
PG85,T,NA,NA,687000,4657000
PG85,Y,NA,NA,689000,4657000
NG25,C,NA,NA,521000,4655000
NG25,H,NA,NA,523000,4655000
NG25,M,NA,NA,525000,4655000
NG25,S,NA,NA,527000,4655000
NG25,X,NA,NA,529000,4655000
NG35,C,0,1,531000,4655000
NG35,H,NA,NA,533000,4655000
NG35,M,NA,NA,535000,4655000
NG35,S,0,1,537000,4655000
NG35,X,NA,NA,539000,4655000
NG45,C,0,1,541000,4655000
NG45,H,NA,NA,543000,4655000
NG45,M,0,1,545000,4655000
NG45,S,NA,NA,547000,4655000
NG45,X,NA,NA,549000,4655000
