BirdID	FlockID	HeadUps	FlockSize	TideState	NumPecks	TotalAggression	TimeOfDay	TimeHighTide	DaysStartWinter	Temperature
154	1	5	2	High	9	1	0.51	-33	25	5.7
140	2	5	3	High	8	0	0.45	-3	25	5.7
157	3	5	4	High	8	1	0.52	-27	25	6.5
159	3	6	4	High	6	1	0.53	-21	25	6.5
142	4	5	6	High	19	1	0.45	-3	25	5.7
143	4	2	6	High	9	1	0.45	-3	25	5.7
174	5	4	6	High	8	0	0.6	21	25	6.5
141	6	0	9	High	24	0	0.45	-3	25	5.7
173	7	3	2	High	15	0	0.6	21	25	6.5
175	8	2	10	High	17	0	0.6	21	25	6.5
168	9	5	11	High	18	0	0.57	3	25	6.5
170	9	3	11	High	5	1	0.58	9	25	6.5
161	10	0	14	High	12	1	0.54	-15	25	6.5
164	10	3	14	High	16	0	0.55	-9	25	6.5
166	10	3	14	High	15	0	0.56	-3	25	6.5
146	11	8	15	High	7	0	0.46	-57	25	5.7
149	11	3	15	High	10	1	0.47	-51	25	5.7
152	11	4	15	High	5	0	0.49	-45	25	5.7
153	11	2	15	High	6	0	0.5	-39	25	5.7
172	12	0	20	High	14	0	0.59	15	25	6.5
165	13	7	2	High	13	0	0.55	-7	25	6.5
167	13	4	2	High	14	0	0.56	-3	25	6.5
162	14	0	3	High	9	0	0.54	-15	25	6.5
135	15	2	5	High	9	1	0.43	-17	25	5.7
137	16	3	6	High	8	0	0.44	-11	25	5.7
138	16	3	6	High	5	0	0.44	-8	25	5.7
139	17	0	13	High	9	0	0.45	-5	25	5.7
190	18	7	16	High	9	0	0.77	-26	29	13.7
191	18	8	16	High	23	0	0.78	-23	29	13.7
192	18	7	16	High	8	0	0.78	-20	29	13.7
193	18	3	16	High	13	0	0.79	-17	29	13.7
202	18	12	16	High	15	0	0.84	10	29	14.1
203	18	6	16	High	9	0	0.85	13	29	14.1
204	18	7	16	High	9	0	0.85	16	29	14.1
195	19	3	18	High	17	0	0.8	-11	29	13.7
196	19	0	18	High	5	1	0.81	-8	29	13.7
197	19	5	18	High	20	0	0.81	-5	29	13.7
198	19	4	18	High	6	0	0.82	-2	29	13.7
199	19	4	18	High	22	0	0.82	1	29	13.7
200	19	9	18	High	20	0	0.83	4	29	13.7
201	19	2	18	High	15	0	0.83	7	29	13.7
205	20	7	22	High	18	0	0.86	19	29	14.1
206	20	7	22	High	17	0	0.86	22	29	14.1
207	20	5	22	High	14	0	0.87	25	29	14.1
208	20	11	22	High	13	1	0.87	28	29	14.1
194	21	1	24	High	9	1	0.8	-14	29	13.7
209	22	3	31	High	16	0	0.88	31	29	14.1
210	22	4	31	High	13	0	0.88	34	29	14.1
211	22	9	31	High	15	0	0.89	37	29	14.1
212	22	3	31	High	15	0	0.9	40	29	14.1
213	22	10	31	High	14	0	0.9	43	29	14.1
214	22	4	31	High	25	0	0.91	46	29	14.1
215	23	3	52	High	7	0	0.91	49	29	14.1
216	23	4	52	High	26	0	0.92	52	29	14.1
217	24	2	66	High	25	0	0.92	55	29	14.1
218	24	3	66	High	9	0	0.93	58	29	14.1
219	24	4	66	High	11	0	0.93	1	29	14.1
220	24	3	66	High	9	1	0.94	4	29	14.1
221	24	4	66	High	23	0	0.94	7	29	14.1
222	24	2	66	High	14	0	0.95	10	29	14.1
223	24	4	66	High	12	0	0.96	13	29	14.1
224	25	2	35	High	12	1	0.83	-7	31	4.3
225	25	3	35	High	12	1	0.84	-2	31	4.3
226	25	5	35	High	21	0	0.85	-57	31	4.6
227	26	3	47	High	9	0	0.86	-52	31	4.6
228	26	0	47	High	29	0	0.87	-47	31	4.6
229	26	3	47	High	9	1	0.88	-42	31	4.6
230	26	2	47	High	14	0	0.89	-37	31	4.6
231	26	3	47	High	16	1	0.89	-37	31	4.6
292	27	0	10	High	21	0	0.39	10	36	7.4
294	27	0	10	High	21	1	0.4	12	36	7.4
286	28	0	15	High	17	0	0.38	4	36	7
288	29	0	15	High	10	0	0.38	6	36	7
290	29	0	15	High	7	0	0.39	8	36	7
285	30	0	15	High	8	0	0.38	3	36	7
287	30	1	15	High	8	0	0.38	5	36	7
289	30	0	15	High	8	0	0.39	7	36	7
291	31	0	15	High	9	0	0.39	9	36	7
293	31	0	15	High	11	0	0.39	11	36	7.4
295	31	1	15	High	9	0	0.4	13	36	7.4
296	31	3	15	High	6	0	0.4	15	36	7.4
297	31	2	15	High	9	1	0.4	17	36	7.4
298	31	2	15	High	12	0	0.41	19	36	7.4
299	31	0	15	High	33	1	0.41	21	36	7.4
300	31	3	15	High	27	1	0.42	23	36	7.4
301	32	1	16	High	26	1	0.42	25	36	7.4
302	32	0	16	High	21	1	0.42	27	36	7.4
311	33	0	20	High	38	0	0.5	6	36	7.4
312	33	1	20	High	25	1	0.5	10	36	8
313	33	3	20	High	16	1	0.51	14	36	8
314	33	0	20	High	24	0	0.52	18	36	8
303	34	1	23	High	26	1	0.43	29	36	7.4
304	34	3	23	High	24	0	0.43	31	36	7.4
305	34	2	23	High	14	0	0.45	42	36	7.4
306	35	0	24	High	22	0	0.46	47	36	7.4
307	35	7	24	High	23	1	0.47	52	36	7.4
308	35	1	24	High	19	0	0.48	57	36	7.4
309	35	2	24	High	21	1	0.49	2	36	7.4
310	35	8	24	High	24	0	0.49	2	36	7.4
360	36	9	1	High	3	0	0.36	-55	39	-0.4
368	36	9	1	High	3	0	0.39	-39	39	0.9
369	36	16	1	High	18	0	0.39	-37	39	0.9
370	36	11	1	High	7	0	0.4	-35	39	0.9
390	37	1	2	High	12	0	0.51	25	39	2.7
391	37	6	2	High	11	1	0.52	27	39	2.7
392	38	2	3	High	11	0	0.52	29	39	2.7
393	38	7	3	High	13	0	0.52	31	39	2.7
394	38	11	3	High	3	0	0.53	33	39	2.7
404	38	16	3	High	21	0	0.57	58	39	2.7
405	39	14	4	High	10	0	0.58	0	39	2.7
406	39	13	4	High	16	0	0.58	2	39	2.7
407	39	14	4	High	16	0	0.59	4	39	2.7
358	40	0	5	High	22	1	0.35	-59	39	-0.4
359	40	6	5	High	14	0	0.36	-57	39	-0.4
371	40	6	5	High	25	0	0.4	-32	39	0.9
372	40	3	5	High	27	0	0.41	-29	39	0.9
408	40	9	5	High	3	1	0.59	6	39	2.7
409	40	12	5	High	20	1	0.59	8	39	2.7
355	41	3	6	High	5	0	0.34	-7	39	-0.4
356	41	1	6	High	13	1	0.34	-4	39	-0.4
402	41	8	6	High	16	0	0.56	52	39	2.7
403	41	8	6	High	15	0	0.57	55	39	2.7
351	42	3	7	High	28	0	0.31	-19	39	-0.4
352	43	1	8	High	13	1	0.32	-16	39	-0.4
339	44	5	9	High	21	0	0.26	-48	39	-1.2
340	44	5	9	High	15	0	0.27	-45	39	-1.2
341	44	5	9	High	21	0	0.27	-44	39	-1.2
364	44	4	9	High	4	1	0.38	-47	39	-0.4
373	44	1	9	High	25	0	0.42	-26	39	0.9
395	44	9	9	High	7	0	0.53	35	39	2.7
396	44	4	9	High	29	0	0.54	37	39	2.7
365	45	8	10	High	19	1	0.38	-45	39	-0.4
366	45	8	10	High	5	0	0.38	-43	39	-0.4
367	45	6	10	High	17	0	0.39	-41	39	-0.4
353	46	2	11	High	4	0	0.33	-13	39	-0.4
354	46	2	11	High	7	1	0.33	-10	39	-0.4
357	46	5	11	High	14	1	0.35	-1	39	-0.4
374	46	3	11	High	9	0	0.42	-23	39	0.9
375	46	5	11	High	27	0	0.43	-20	39	0.9
388	46	10	11	High	4	0	0.5	19	39	0.9
389	46	5	11	High	7	1	0.51	22	39	2.7
342	47	4	12	High	18	0	0.27	-42	39	-1.2
343	47	3	12	High	26	0	0.28	-40	39	-0.4
381	47	5	12	High	19	1	0.46	-2	39	0.9
382	47	3	12	High	12	1	0.47	1	39	0.9
383	47	2	12	High	15	1	0.47	4	39	0.9
384	47	0	12	High	12	1	0.48	7	39	0.9
385	47	4	12	High	17	1	0.48	10	39	0.9
386	47	4	12	High	15	0	0.49	13	39	0.9
387	47	3	12	High	14	1	0.5	16	39	0.9
397	47	0	12	High	15	1	0.54	39	39	2.7
398	47	1	12	High	14	0	0.54	41	39	2.7
399	47	6	12	High	19	1	0.55	43	39	2.7
400	47	3	12	High	14	0	0.55	46	39	2.7
401	47	13	12	High	23	0	0.56	49	39	2.7
361	48	1	14	High	26	0	0.36	-53	39	-0.4
362	48	2	14	High	18	1	0.37	-51	39	-0.4
376	48	4	14	High	16	0	0.43	-17	39	0.9
377	48	1	14	High	12	0	0.44	-14	39	0.9
378	48	3	14	High	14	1	0.44	-11	39	0.9
379	48	5	14	High	19	1	0.45	-8	39	0.9
380	48	6	14	High	27	0	0.46	-5	39	0.9
363	49	5	15	High	13	0	0.37	-49	39	-0.4
344	50	5	19	High	10	1	0.28	-38	39	-0.4
345	50	6	19	High	10	1	0.28	-36	39	-0.4
346	50	5	19	High	11	0	0.29	-34	39	-0.4
347	50	2	19	High	24	1	0.29	-31	39	-0.4
348	51	2	24	High	21	1	0.3	-28	39	-0.4
349	51	3	24	High	18	1	0.3	-25	39	-0.4
350	51	2	24	High	25	0	0.31	-22	39	-0.4
464	52	6	3	High	7	0	0.63	-51	42	7.7
467	52	3	3	High	9	0	0.64	-47	42	7.7
465	53	5	6	High	6	0	0.63	-50	42	7.7
419	54	2	7	High	10	1	0.59	12	40	6.1
420	54	18	7	High	27	0	0.6	15	40	6.1
422	54	9	7	High	10	1	0.61	21	40	6.1
466	55	5	7	High	7	0	0.64	-48	42	7.7
468	55	3	7	High	9	1	0.64	-46	42	7.7
469	55	2	7	High	26	1	0.64	-45	42	7.7
470	55	4	7	High	23	0	0.64	-44	42	7.7
