co2,c.month,month
NA,1,1
NA,2,2
NA,3,3
NA,4,4
NA,5,5
313.21,6,6
NA,7,7
NA,8,8
313.71,9,9
NA,10,10
NA,11,11
314.31,12,12
NA,13,1
NA,14,2
314.13,15,3
NA,16,4
NA,17,5
314.36,18,6
NA,19,7
NA,20,8
315.16,21,9
NA,22,10
NA,23,11
NA,24,12
314.93,25,1
314.97,26,2
314.92,27,3
NA,28,4
NA,29,5
NA,30,6
NA,31,7
315.81,32,8
316.06,33,9
NA,34,10
316.16,35,11
NA,36,12
NA,37,1
NA,38,2
NA,39,3
NA,40,4
NA,41,5
316.22,42,6
316.53,43,7
316.59,44,8
NA,45,9
NA,46,10
NA,47,11
NA,48,12
NA,49,1
NA,50,2
NA,51,3
NA,52,4
316.63,53,5
316.7,54,6
316.78,55,7
317.19,56,8
317.52,57,9
317.57,58,10
317.71,59,11
317.51,60,12
317.3,61,1
317.1,62,2
316.9,63,3
316.95,64,4
317.02,65,5
317.09,66,6
317.11,67,7
317.48,68,8
317.91,69,9
NA,70,10
NA,71,11
318.47,72,12
317.97,73,1
317.71,74,2
317.31,75,3
317.74,76,4
318.1,77,5
318.06,78,6
318.1,79,7
318.47,80,8
318.4,81,9
318.85,82,10
NA,83,11
NA,84,12
NA,85,1
NA,86,2
NA,87,3
NA,88,4
NA,89,5
NA,90,6
NA,91,7
NA,92,8
NA,93,9
NA,94,10
NA,95,11
NA,96,12
NA,97,1
318.53,98,2
318.4,99,3
318.52,100,4
318.73,101,5
NA,102,6
319.22,103,7
319.51,104,8
NA,105,9
NA,106,10
320.01,107,11
320.11,108,12
320.18,109,1
319.84,110,2
319.89,111,3
320.15,112,4
320.28,113,5
320.29,114,6
NA,115,7
320.91,116,8
321.19,117,9
321.3,118,10
321.4,119,11
320.9,120,12
NA,121,1
320.85,122,2
NA,123,3
320.7,124,4
320.84,125,5
320.79,126,6
320.9,127,7
321.67,128,8
321.91,129,9
321.64,130,10
321.66,131,11
321.61,132,12
321.37,133,1
NA,134,2
NA,135,3
321.45,136,4
321.31,137,5
321.28,138,6
321.34,139,7
NA,140,8
NA,141,9
NA,142,10
NA,143,11
322.49,144,12
322.2,145,1
NA,146,2
322.11,147,3
322.13,148,4
322.42,149,5
322.63,150,6
323.08,151,7
323.43,152,8
323.97,153,9
323.79,154,10
323.81,155,11
NA,156,12
NA,157,1
323.37,158,2
323.27,159,3
323.51,160,4
323.62,161,5
324.01,162,6
324.31,163,7
324.55,164,8
325.01,165,9
325.03,166,10
325.07,167,11
NA,168,12
324.64,169,1
324.44,170,2
324.15,171,3
324.31,172,4
324.51,173,5
324.74,174,6
324.99,175,7
NA,176,8
325.6,177,9
NA,178,10
325.58,179,11
NA,180,12
NA,181,1
NA,182,2
324.88,183,3
325,184,4
325.15,185,5
325.66,186,6
325.97,187,7
326.69,188,8
326.37,189,9
326.61,190,10
326.78,191,11
326.65,192,12
326.58,193,1
326.17,194,2
326.19,195,3
326.66,196,4
326.94,197,5
327.26,198,6
327.57,199,7
328.24,200,8
328.53,201,9
328.46,202,10
328.43,203,11
328.42,204,12
328.13,205,1
327.92,206,2
327.91,207,3
327.73,208,4
327.84,209,5
327.71,210,6
328.29,211,7
328.52,212,8
328.78,213,9
328.88,214,10
328.96,215,11
328.82,216,12
328.72,217,1
328.73,218,2
328.68,219,3
328.77,220,4
328.76,221,5
328.9,222,6
329.18,223,7
329.66,224,8
330.06,225,9
330.39,226,10
330.29,227,11
330.1,228,12
330.12,229,1
329.84,230,2
329.73,231,3
329.47,232,4
329.77,233,5
329.81,234,6
330.3,235,7
330.85,236,8
331.22,237,9
331.54,238,10
331.57,239,11
331.25,240,12
331.09,241,1
330.83,242,2
330.68,243,3
331.15,244,4
331.23,245,5
331.45,246,6
331.89,247,7
332.29,248,8
332.7,249,9
332.93,250,10
333.14,251,11
333.01,252,12
332.67,253,1
332.54,254,2
332.65,255,3
332.81,256,4
NA,257,5
333.2,258,6
333.65,259,7
334.11,260,8
334.56,261,9
334.66,262,10
334.41,263,11
334.13,264,12
333.84,265,1
333.87,266,2
333.65,267,3
334,268,4
334.17,269,5
334.37,270,6
334.98,271,7
335.55,272,8
335.7,273,9
335.84,274,10
336.2,275,11
335.87,276,12
335.89,277,1
335.58,278,2
NA,279,3
335.92,280,4
336.04,281,5
336.73,282,6
337.28,283,7
337.37,284,8
337.7,285,9
337.73,286,10
337.8,287,11
337.87,288,12
337.59,289,1
337.31,290,2
337.25,291,3
337.36,292,4
337.5,293,5
337.98,294,6
338.24,295,7
338.59,296,8
338.64,297,9
338.98,298,10
338.69,299,11
338.74,300,12
NA,301,1
338.47,302,2
338.21,303,3
338.53,304,4
338.82,305,5
339.01,306,6
339.17,307,7
339.94,308,8
340.13,309,9
340.16,310,10
339.87,311,11
339.78,312,12
339.68,313,1
339.67,314,2
339.68,315,3
340.14,316,4
340.45,317,5
340.83,318,6
341.23,319,7
341.71,320,8
342.14,321,9
342.11,322,10
342.37,323,11
342.17,324,12
341.87,325,1
NA,326,2
341.54,327,3
341.66,328,4
341.69,329,5
341.85,330,6
342.63,331,7
343.02,332,8
343.27,333,9
343.32,334,10
343.14,335,11
342.97,336,12
342.83,337,1
342.64,338,2
342.55,339,3
342.59,340,4
342.94,341,5
343.28,342,6
343.76,343,7
344.34,344,8
344.68,345,9
344.77,346,10
344.61,347,11
344.46,348,12
344.46,349,1
344.38,350,2
344.32,351,3
344.45,352,4
344.51,353,5
344.84,354,6
345.37,355,7
345.76,356,8
346,357,9
345.98,358,10
345.99,359,11
345.86,360,12
345.71,361,1
345.62,362,2
345.57,363,3
345.94,364,4
346.04,365,5
346.44,366,6
347.03,367,7
347.45,368,8
347.89,369,9
347.92,370,10
348.02,371,11
348.13,372,12
348.11,373,1
347.89,374,2
347.72,375,3
348.04,376,4
348.17,377,5
348.42,378,6
348.91,379,7
349.43,380,8
349.59,381,9
349.74,382,10
349.69,383,11
349.68,384,12
349.65,385,1
349.6,386,2
349.5,387,3
349.58,388,4
349.77,389,5
350.02,390,6
350.45,391,7
350.97,392,8
351.22,393,9
351.15,394,10
351.18,395,11
350.83,396,12
350.61,397,1
350.27,398,2
350.5,399,3
350.76,400,4
351.23,401,5
351.45,402,6
351.93,403,7
352.42,404,8
352.62,405,9
352.44,406,10
352.7,407,11
352.5,408,12
NA,409,1
352.21,410,2
352.18,411,3
352.34,412,4
352.44,413,5
352.86,414,6
353.31,415,7
353.58,416,8
353.98,417,9
353.78,418,10
353.85,419,11
353.67,420,12
353.47,421,1
353.09,422,2
352.97,423,3
353.17,424,4
353.68,425,5
353.94,426,6
354.55,427,7
354.89,428,8
355.19,429,9
355.3,430,10
355.03,431,11
354.82,432,12
354.66,433,1
354.47,434,2
354.2,435,3
354.4,436,4
354.47,437,5
354.81,438,6
355.18,439,7
355.68,440,8
356.02,441,9
356.03,442,10
355.99,443,11
355.67,444,12
355.48,445,1
355.48,446,2
355.53,447,3
355.66,448,4
355.71,449,5
356.01,450,6
356.49,451,7
357.14,452,8
357.63,453,9
357.55,454,10
357.73,455,11
357.54,456,12
357.48,457,1
357.4,458,2
357.4,459,3
357.67,460,4
357.86,461,5
357.98,462,6
358.38,463,7
358.79,464,8
359.19,465,9
359.34,466,10
359.47,467,11
359.51,468,12
359.4,469,1
359.35,470,2
359.3,471,3
359.41,472,4
359.45,473,5
359.75,474,6
360.21,475,7
360.57,476,8
360.75,477,9
360.75,478,10
360.78,479,11
360.75,480,12
360.6,481,1
360.52,482,2
