year,exra,nao,location,code,elevation,climate.region,N,E
1984,43.4,2.17,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
1985,41.5,-3.09,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
1986,46.4,3.14,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
1987,43.4,-3.01,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
1988,41.8,-0.13,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
1989,40.9,2.38,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
1990,52.5,3.88,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
1991,42.8,1.14,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
1992,37.6,2.54,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
1993,39.8,1.71,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
1994,33.8,2.86,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
1995,40.6,-1.11,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
1996,38.9,-1.98,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
1997,60.7,-0.93,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
1998,33.6,1.03,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
1999,49.6,2.25,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
2000,35.9,1.18,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
2001,62.7,-1.91,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
2002,49.2,1,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
2003,49.1,-0.09,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
2004,48.6,0.7,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
2005,49.7,-1.35,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
2006,36,-0.2,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
2007,59,1.35,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
2008,31,1.72,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
2009,36.5,0.72,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
2010,36.3,-5.96,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
2011,56.3,2.95,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
